Day,Date,Protocol,Chain,APY,Portfolio Value,Daily Yield,Costs
28,2024-01-28,Balancer,Arbitrum,8.93,10074.85,2.45,1.62
29,2024-01-29,Balancer,Arbitrum,8.16,10077.08,2.24,0.00
30,2024-01-30,Balancer,Arbitrum,6.50,10078.86,1.78,0.00
31,2024-01-31,Uniswap V3,Arbitrum,21.44,10077.16,5.87,7.58
32,2024-02-01,Uniswap V3,Arbitrum,23.04,10083.47,6.31,0.00
33,2024-02-02,Uniswap V3,Arbitrum,18.11,10088.43,4.96,0.00
34,2024-02-03,Uniswap V3,Arbitrum,12.62,10091.88,3.46,0.00
35,2024-02-04,Uniswap V3,Arbitrum,12.34,10095.26,3.38,0.00
36,2024-02-05,Curve,Arbitrum,9.71,10096.15,2.66,1.77
37,2024-02-06,Balancer,Arbitrum,9.07,10094.74,2.49,3.90
38,2024-02-07,Balancer,Arbitrum,8.53,10095.74,2.34,1.34
39,2024-02-08,Balancer,Arbitrum,8.19,10097.98,2.24,0.00
40,2024-02-09,Curve,Arbitrum,8.67,10098.95,2.37,1.40
41,2024-02-10,Uniswap V3,Arbitrum,8.78,10098.28,2.41,3.08
42,2024-02-11,Balancer,Arbitrum,9.53,10098.98,2.61,1.91
43,2024-02-12,Balancer,Arbitrum,8.91,10101.42,2.44,0.00
44,2024-02-13,Balancer,Arbitrum,7.30,10103.42,2.00,0.00
45,2024-02-14,Balancer,Arbitrum,7.83,10105.57,2.15,0.00
46,2024-02-15,Balancer,Arbitrum,7.20,10107.54,1.97,0.00
47,2024-02-16,Balancer,Arbitrum,8.37,10109.83,2.29,0.00
48,2024-02-17,Pendle,Arbitrum,12.04,10107.79,3.30,5.34
49,2024-02-18,Pendle,Arbitrum,10.61,10110.70,2.91,0.00
50,2024-02-19,Pendle,Arbitrum,16.27,10114.12,4.45,1.03
51,2024-02-20,Pendle,Arbitrum,54.32,10128.98,14.85,0.00
52,2024-02-21,Pendle,Arbitrum,56.10,10143.15,15.34,1.17
53,2024-02-22,Pendle,Arbitrum,46.96,10154.61,12.85,1.39
54,2024-02-23,Pendle,Arbitrum,43.88,10165.63,12.01,0.98
55,2024-02-24,Pendle,Arbitrum,38.60,10175.34,10.56,0.85
56,2024-02-25,Pendle,Arbitrum,31.66,10184.01,8.66,0.00
57,2024-02-26,Pendle,Arbitrum,25.13,10190.89,6.88,0.00
58,2024-02-27,Pendle,Arbitrum,16.03,10195.28,4.39,0.00
59,2024-02-28,Pendle,Arbitrum,16.77,10199.87,4.59,0.00
60,2024-02-29,Pendle,Arbitrum,17.15,10204.57,4.70,0.00
61,2024-03-01,Curve,Arbitrum,19.05,10207.60,5.22,2.18
62,2024-03-02,Curve,Arbitrum,19.88,10209.94,5.45,3.11
63,2024-03-03,Curve,Arbitrum,20.50,10215.55,5.61,0.00
64,2024-03-04,Pendle,Arbitrum,19.13,10218.59,5.24,2.20
65,2024-03-05,Curve,Arbitrum,21.11,10222.16,5.78,2.21
66,2024-03-06,Curve,Arbitrum,18.12,10227.13,4.96,0.00
67,2024-03-07,Curve,Arbitrum,18.32,10232.15,5.02,0.00
68,2024-03-08,Curve,Arbitrum,14.90,10236.23,4.08,0.00
69,2024-03-09,Curve,Arbitrum,16.13,10240.64,4.42,0.00
70,2024-03-10,Curve,Arbitrum,14.71,10244.67,4.03,0.00
71,2024-03-11,Curve,Arbitrum,17.98,10249.60,4.92,0.00
72,2024-03-12,Curve,Arbitrum,14.33,10253.52,3.92,0.00
73,2024-03-13,Curve,Arbitrum,14.12,10257.39,3.87,0.00
74,2024-03-14,Curve,Arbitrum,14.67,10261.41,4.02,0.00
75,2024-03-15,Curve,Arbitrum,14.95,10265.50,4.09,0.00
76,2024-03-16,Uniswap V3,Arbitrum,27.79,10267.06,7.61,6.05
77,2024-03-17,Uniswap V3,Arbitrum,22.20,10273.14,6.08,0.00
78,2024-03-18,Curve,Arbitrum,11.36,10272.56,3.11,3.69
79,2024-03-19,Curve,Arbitrum,10.44,10275.42,2.86,0.00
80,2024-03-20,Curve,Arbitrum,10.80,10278.38,2.96,0.00
81,2024-03-21,Curve,Arbitrum,8.49,10280.71,2.32,0.00
82,2024-03-22,Curve,Arbitrum,8.60,10283.06,2.36,0.00
83,2024-03-23,Yearn,Arbitrum,9.34,10282.58,2.56,3.04
84,2024-03-24,Yearn,Arbitrum,9.40,10285.16,2.58,0.00
85,2024-03-25,Yearn,Arbitrum,9.34,10287.71,2.56,0.00
86,2024-03-26,Pendle,Arbitrum,14.78,10287.85,4.05,3.92
87,2024-03-27,Pendle,Arbitrum,19.04,10291.01,5.21,2.05
88,2024-03-28,Pendle,Arbitrum,19.13,10296.25,5.24,0.00
89,2024-03-29,Curve,Arbitrum,10.63,10297.89,2.91,1.27
90,2024-03-30,Curve,Arbitrum,9.05,10300.37,2.48,0.00
