Day,Date,APY,Portfolio Value
149,2024-05-27,4.5,10208.46
150,2024-05-28,4.17,10209.62
151,2024-05-29,4.28,10210.82
152,2024-05-30,4.25,10212.01
153,2024-05-31,4.03,10213.13
154,2024-06-01,3.91,10214.23
155,2024-06-02,4.3,10215.43
156,2024-06-03,4.34,10216.65
157,2024-06-04,4.38,10217.87
158,2024-06-05,4.2,10219.05
159,2024-06-06,3.96,10220.16
160,2024-06-07,4.31,10221.36
161,2024-06-08,4.14,10222.52
162,2024-06-09,4.48,10223.78
163,2024-06-10,4.4,10225.01
164,2024-06-11,4.23,10226.2
165,2024-06-12,3.86,10227.28
166,2024-06-13,3.94,10228.38
167,2024-06-14,3.73,10229.43
168,2024-06-15,4.29,10230.63
169,2024-06-16,4.09,10231.78
170,2024-06-17,4.37,10233
171,2024-06-18,4.12,10234.16
172,2024-06-19,3.74,10235.2
173,2024-06-20,4.19,10236.38
174,2024-06-21,4.15,10237.54
175,2024-06-22,4.24,10238.73
176,2024-06-23,4.26,10239.93
177,2024-06-24,4,10241.05
178,2024-06-25,3.77,10242.11
179,2024-06-26,4.1,10243.26
180,2024-06-27,4.03,10244.39
181,2024-06-28,4,10245.51
182,2024-06-29,3.95,10246.62
183,2024-06-30,3.93,10247.72
184,2024-07-01,4.08,10248.87
185,2024-07-02,3.9,10249.96
186,2024-07-03,3.84,10251.04
187,2024-07-04,4.95,10252.43
188,2024-07-05,3.83,10253.51
189,2024-07-06,4.06,10254.65
190,2024-07-07,4.16,10255.82
191,2024-07-08,4.19,10257
192,2024-07-09,4.11,10258.15
193,2024-07-10,3.89,10259.25
194,2024-07-11,4.15,10260.41
195,2024-07-12,3.96,10261.53
196,2024-07-13,3.8,10262.6
197,2024-07-14,3.35,10263.54
198,2024-07-15,4.12,10264.7
199,2024-07-16,4.14,10265.86
200,2024-07-17,3.98,10266.98
201,2024-07-18,3.94,10268.09
202,2024-07-19,4.01,10269.22
203,2024-07-20,4.14,10270.38
204,2024-07-21,4,10271.51
205,2024-07-22,4.08,10272.66
206,2024-07-23,3.98,10273.78
207,2024-07-24,4.06,10274.92
208,2024-07-25,4.24,10276.11
209,2024-07-26,4.23,10277.3
210,2024-07-27,3.88,10278.4
211,2024-07-28,4.22,10279.58
212,2024-07-29,4.32,10280.8
213,2024-07-30,4.19,10281.98
214,2024-07-31,3.95,10283.09
215,2024-08-01,4.16,10284.26
216,2024-08-02,4.01,10285.4
217,2024-08-03,4.16,10286.57
218,2024-08-04,4.34,10287.79
219,2024-08-05,4.27,10288.99
220,2024-08-06,4.23,10290.19
221,2024-08-07,4,10291.32
222,2024-08-08,3.96,10292.43
223,2024-08-09,4.08,10293.58
224,2024-08-10,4.1,10294.74
225,2024-08-11,4.34,10295.96
226,2024-08-12,4.35,10297.19
227,2024-08-13,3.96,10298.31
228,2024-08-14,4.21,10299.5
229,2024-08-15,5.4,10301.02
230,2024-08-16,4.13,10302.19
231,2024-08-17,3.98,10303.31
232,2024-08-18,4.28,10304.52
233,2024-08-19,4.34,10305.74
234,2024-08-20,4.09,10306.9
235,2024-08-21,4.04,10308.04
236,2024-08-22,4.02,10309.17
237,2024-08-23,4.16,10310.35
238,2024-08-24,4.04,10311.49
239,2024-08-25,4.1,10312.65
240,2024-08-26,4.31,10313.87
241,2024-08-27,4.08,10315.02
242,2024-08-28,4.35,10316.25
243,2024-08-29,4.03,10317.39
244,2024-08-30,4.38,10318.63
245,2024-08-31,4.4,10319.88
246,2024-09-01,4.22,10321.07
247,2024-09-02,4.48,10322.34
248,2024-09-03,4.41,10323.58
249,2024-09-04,4.23,10324.78
250,2024-09-05,4.1,10325.94
251,2024-09-06,4.4,10327.19
252,2024-09-07,4.4,10328.43
253,2024-09-08,4.29,10329.64
254,2024-09-09,4.57,10330.94
255,2024-09-10,4.16,10332.11
256,2024-09-11,4.24,10333.32
257,2024-09-12,4.2,10334.5
258,2024-09-13,4.43,10335.76
259,2024-09-14,4.41,10337.01
260,2024-09-15,4.44,10338.26
261,2024-09-16,4.55,10339.55
262,2024-09-17,4.19,10340.74
263,2024-09-18,4.15,10341.91
264,2024-09-19,4.47,10343.18
265,2024-09-20,4.46,10344.44
266,2024-09-21,4.14,10345.61
267,2024-09-22,4.24,10346.82
268,2024-09-23,4.33,10348.04
269,2024-09-24,4.44,10349.3
270,2024-09-25,4.17,10350.49
271,2024-09-26,4.34,10351.72
272,2024-09-27,4.42,10352.97
273,2024-09-28,4.69,10354.3
274,2024-09-29,4.52,10355.58
275,2024-09-30,4.96,10356.99
276,2024-10-01,4.45,10358.25
277,2024-10-02,4.96,10359.66
278,2024-10-03,4.44,10360.92
279,2024-10-04,5.24,10362.41
280,2024-10-05,4.96,10363.82
281,2024-10-06,5.49,10365.38
282,2024-10-07,5.01,10366.8
283,2024-10-08,4.78,10368.15
284,2024-10-09,5.04,10369.59
285,2024-10-10,5.16,10371.05
286,2024-10-11,5.1,10372.5
287,2024-10-12,4.84,10373.88
288,2024-10-13,4.63,10375.19
289,2024-10-14,5.13,10376.65
290,2024-10-15,5.22,10378.14
291,2024-10-16,4.97,10379.55
292,2024-10-17,5.26,10381.05
293,2024-10-18,5.23,10382.53
294,2024-10-19,5.07,10383.97
295,2024-10-20,5.02,10385.4
296,2024-10-21,4.89,10386.79
297,2024-10-22,4.81,10388.16
298,2024-10-23,5.09,10389.61
299,2024-10-24,5.17,10391.09
300,2024-10-25,5.38,10392.62
301,2024-10-26,4.92,10394.02
302,2024-10-28,5.34,10395.54
303,2024-10-29,5.41,10397.08
304,2024-10-30,5.21,10398.57
305,2024-10-31,5.3,10400.08
306,2024-11-01,4.97,10401.5
307,2024-11-02,5,10402.92
308,2024-11-03,5.03,10404.35
309,2024-11-04,5.21,10405.84
310,2024-11-05,5.6,10407.44
311,2024-11-06,5.45,10408.99
312,2024-11-07,5.11,10410.45
313,2024-11-08,5.24,10411.94
314,2024-11-09,5.24,10413.44
315,2024-11-10,5.5,10415.01
316,2024-11-11,5.18,10416.48
317,2024-11-12,5.16,10417.95
318,2024-11-13,5.02,10419.39
319,2024-11-14,4.58,10420.69
320,2024-11-15,5.48,10422.26
321,2024-11-16,5.29,10423.77
322,2024-11-17,5.07,10425.22
323,2024-11-18,5.35,10426.75
324,2024-11-19,5.38,10428.28
325,2024-11-20,5.56,10429.87
326,2024-11-21,5.15,10431.35
327,2024-11-22,5.48,10432.91
328,2024-11-23,5.77,10434.56
329,2024-11-24,5.72,10436.2
330,2024-11-25,5.75,10437.84
331,2024-11-26,5.85,10439.52
332,2024-11-27,5.68,10441.14
333,2024-11-28,5.79,10442.8
334,2024-11-29,5.66,10444.42
335,2024-11-30,5.52,10446
336,2024-12-01,5.74,10447.64
337,2024-12-02,5.77,10449.29
338,2024-12-03,5.89,10450.98
339,2024-12-04,5.35,10452.51
340,2024-12-05,5.96,10454.21
341,2024-12-06,5.96,10455.92
342,2024-12-07,5.96,10457.63
343,2024-12-08,5.69,10459.26
344,2024-12-09,5.52,10460.84
345,2024-12-10,5.85,10462.52
346,2024-12-11,6.03,10464.24
347,2024-12-12,5.9,10465.94
348,2024-12-13,5.5,10467.51
349,2024-12-14,6.03,10469.24
350,2024-12-15,5.71,10470.88
351,2024-12-16,6.14,10472.64
352,2024-12-17,6.05,10474.38
353,2024-12-18,5.95,10476.08
354,2024-12-19,6.16,10477.85
355,2024-12-20,5.55,10479.44
356,2024-12-21,5.83,10481.12
357,2024-12-22,6.06,10482.86
358,2024-12-23,5.73,10484.5
359,2024-12-24,5.82,10486.18
360,2024-12-25,6.04,10487.91
361,2024-12-26,5.68,10489.54
362,2024-12-27,5.63,10491.16
363,2024-12-28,5.98,10492.88
364,2024-12-29,5.77,10494.54
365,2024-12-30,5.95,10496.25
