Day,Date,APY,Portfolio Value
339,2024-12-04,3.71,10185.66
340,2024-12-05,2.95,10186.49
341,2024-12-06,3.73,10187.54
342,2024-12-07,3.13,10188.41
343,2024-12-08,3.22,10189.32
344,2024-12-09,3.15,10190.2
345,2024-12-10,3.84,10191.28
346,2024-12-11,3.44,10192.24
347,2024-12-12,2.97,10193.07
348,2024-12-13,3.93,10194.18
349,2024-12-14,3.2,10195.07
350,2024-12-15,3.88,10196.16
351,2024-12-16,3.23,10197.07
352,2024-12-17,3.58,10198.08
353,2024-12-18,3.15,10198.960000000001
354,2024-12-19,3.28,10199.880000000001
355,2024-12-20,3.22,10200.79
356,2024-12-21,3.71,10201.83
357,2024-12-22,3.41,10202.78
358,2024-12-23,3.64,10203.810000000001
359,2024-12-24,4.16,10204.970000000001
360,2024-12-25,3.71,10206.02
361,2024-12-26,3.31,10206.95
362,2024-12-27,4.13,10208.11
363,2024-12-28,3.51,10209.1
364,2024-12-29,4.23,10210.29
365,2024-12-30,3.42,10211.25
