Day,Date,Protocol,Chain,APY,Portfolio Value,Daily Yield,Costs
62,2024-08-31,Pendle,Arbitrum,10.76,10170.82,2.95,0.64
63,2024-09-01,Pendle,Arbitrum,9.80,10173.50,2.68,0.00
64,2024-09-02,Pendle,Arbitrum,9.01,10175.97,2.47,0.00
65,2024-09-03,Pendle,Arbitrum,10.26,10177.98,2.81,0.80
66,2024-09-04,Pendle,Arbitrum,10.01,10180.72,2.74,0.00
67,2024-09-05,Pendle,Arbitrum,9.73,10183.39,2.66,0.00
68,2024-09-06,Pendle,Arbitrum,9.84,10185.16,2.70,0.92
69,2024-09-07,Pendle,Arbitrum,10.64,10188.08,2.91,0.00
70,2024-09-08,Pendle,Arbitrum,9.87,10190.14,2.70,0.64
71,2024-09-09,Pendle,Arbitrum,10.74,10193.08,2.94,0.00
72,2024-09-10,Pendle,Arbitrum,10.80,10196.04,2.96,0.00
73,2024-09-11,Pendle,Arbitrum,10.39,10198.88,2.85,0.00
74,2024-09-12,Pendle,Arbitrum,9.76,10201.56,2.67,0.00
75,2024-09-13,Pendle,Arbitrum,9.92,10204.28,2.72,0.00
76,2024-09-14,Pendle,Arbitrum,10.37,10207.12,2.84,0.00
77,2024-09-15,Pendle,Arbitrum,11.30,10210.21,3.09,0.00
78,2024-09-16,Pendle,Arbitrum,10.60,10213.11,2.90,0.00
79,2024-09-17,Pendle,Arbitrum,10.39,10215.96,2.85,0.00
80,2024-09-18,Pendle,Arbitrum,10.02,10218.70,2.74,0.00
81,2024-09-19,Pendle,Arbitrum,10.89,10221.69,2.98,0.00
82,2024-09-20,Pendle,Arbitrum,10.50,10224.56,2.88,0.00
83,2024-09-21,Pendle,Arbitrum,9.85,10227.26,2.70,0.00
84,2024-09-22,Pendle,Arbitrum,10.54,10230.15,2.89,0.00
85,2024-09-23,Pendle,Arbitrum,10.94,10233.14,3.00,0.00
86,2024-09-24,Pendle,Arbitrum,10.74,10236.09,2.94,0.00
87,2024-09-25,Pendle,Arbitrum,10.67,10239.01,2.92,0.00
88,2024-09-26,Pendle,Arbitrum,9.60,10241.64,2.63,0.00
89,2024-09-27,Pendle,Arbitrum,11.26,10243.88,3.08,0.84
90,2024-09-28,Pendle,Arbitrum,9.90,10246.59,2.71,0.00
